id	smiles	Carbon	Cyclic nitrogen	Heavy atoms	Acyclic double bonds	Cyclic single bonds	Cyclic double bonds	H-bond acceptor sites	H-bond acceptor atoms	Cyclic divalent nodes	Cyclic trivalent nodes	n
mol1	CC1NC(NC(C)=O)=NC1C	7	2	11	1	4	1	5	4	2	3	4.59
mol2	CC(O)C1(CN)OC1(C)C#C	8	0	11	0	3	0	5	3	1	0	5.11
mol3	CC1C2(C)C(N)COCOC12C#C	10	0	13	0	9	0	5	3	4	2	4.96
mol4	CN(C)C=O	3	0	5	1	0	0	3	2	0	0	6.04
mol5	CCC1(O)CCC2NCC3C2OC13	10	1	13	0	12	0	5	3	5	4	5.33
mol6	CC(=O)CC1CC2CCC1NC2=O	10	1	13	2	9	0	5	3	4	4	4.48
mol7	CC1=CC2=C(C(O)C(NO)=N2)N1N	7	2	13	0	6	3	8	6	2	6	3.88
mol8	O1C=CC=C1	4	0	5	0	3	2	2	1	5	0	5.78
mol9	CN=C1N(C)C=NCC2=C1C=NO2	8	3	13	1	8	3	6	5	6	4	4.37
mol10	CC1CCC2C(C#N)N3CC=CC123	11	1	13	0	11	1	2	2	5	4	4.93
mol11	CC=C1CC(=NN)C2(CC2C)O1	9	0	12	2	8	0	4	3	3	3	4.24
mol12	CC(CN)(NCC#CC=C)C(N)=O	9	0	13	2	0	0	5	4	0	0	4.05
mol13	CC1OC1C1CCC1C=NN=C	9	0	12	2	7	0	4	3	3	4	4.17
mol14	CC1CC2(CC2N)C(=O)NN=CO1	8	2	13	1	10	1	7	5	6	3	4.28
mol15	CCCNC	4	0	5	0	0	0	1	1	0	0	6.56
mol16	CC1NC1C(N)C1CNC(C)C1O	9	2	13	0	8	0	5	4	3	5	5.17
mol17	CC1C2C(C)CC34CC5C(N5C3)C124	12	1	13	0	15	0	1	1	3	6	5.73
mol18	CC1OC2C3C4CCC2(C4)NC13C	11	1	13	0	14	0	3	2	5	4	2.57
mol19	CC1CC2C(C#C)C2(C)C(=N)N1O	10	1	13	1	8	0	4	3	1	5	4.36
mol20	CCNC1C=CC(CC1C)C#C	11	0	12	0	5	1	1	1	3	3	4.78
mol21	CC(O)C(CO)C1NCC1C=NN	8	1	13	1	4	0	7	5	2	2	4.61
mol22	CCC12NCCOCC3OC1C2O3	9	1	13	0	13	0	7	4	7	3	5.12
mol23	CCN=CNC1CCC=CC1	9	0	11	1	5	1	2	2	5	1	4.77
mol24	CC12CCCC3(N)C1C1CC3CC21	12	0	13	0	14	0	1	1	5	4	4.79
mol25	CC1=NC2(CN)C3CCC(N1)C23	9	2	12	0	10	1	3	3	4	4	4.87
mol26	CC1C2CN(CC#N)C3C=CC2C13	11	1	13	0	10	1	2	2	3	6	4.70
mol27	O=C1C2CNC2CC11OCC=C1	9	1	12	1	12	1	5	3	7	3	4.02
mol28	NC1COC1	3	0	5	0	4	0	3	2	3	1	6.28
mol29	CN1CC1(C)C(=O)CN(O)C(C)=N	8	1	13	2	3	0	7	5	1	1	4.08
mol30	CC1N=CNC(C)(C#N)C1(C)O	8	2	12	0	5	1	5	4	3	1	5.27
mol31	CC1OC1C	4	0	5	0	3	0	2	1	1	2	7.39
mol32	C1C2OC3C1C=NOCOC3CO2	8	1	13	0	14	1	9	5	9	4	3.07
mol33	CNCC1(COC2(CC2C)O1)C=O	9	0	13	1	8	0	7	4	4	1	4.01
mol34	CC(=O)CC(=CC1=CCCC1)C#N	11	0	13	2	4	1	3	2	4	1	3.87
mol35	CNC1=CN=C(CC=O)N1C=O	7	2	12	2	3	2	7	5	2	3	3.88
mol36	CC1=NOCC1=CC1CCC1C#N	10	1	13	1	8	1	4	3	5	4	4.11
mol37	NNC1=NC(C=C)C=CC(=O)N1	7	2	12	2	5	2	6	5	4	3	4.23
mol38	CC#CC1=CN(N=C1)C(=C)CCO	10	2	13	1	3	2	4	3	3	2	3.93
mol39	CCNCC	4	0	5	0	0	0	1	1	0	0	6.48
mol40	CC(=CC=NN)N1CC=CCC1=O	9	1	13	3	5	1	5	4	4	2	3.84
mol41	CCCN(N)C(=N)C=C1CCCN1	9	1	13	2	5	0	4	4	4	1	4.32
mol42	CC=C	3	0	3	1	0	0	0	0	0	0	6.38
mol43	CNCC1(CCN1)C(C=C)=CC#N	10	1	13	2	4	0	3	3	3	0	3.80
mol44	CNC1(C)COCC(CC1C)=NO	9	0	13	1	7	0	6	4	4	2	4.65
mol45	CC1CN=C(CC2CC2O)NC1=O	9	2	13	1	8	1	6	4	4	5	4.55
mol46	CC#CC1=CC2=C(NC(N2)=NO)N1	8	3	13	1	5	4	6	5	4	4	3.74
mol47	CC1=CCC2(O)C(N)C(C)(C)C2C1	11	0	13	0	8	1	3	2	3	3	4.85
mol48	CC(C)N1NC(=N)C2CCCC1C2	10	2	13	1	10	0	3	3	5	4	4.79
mol49	CC#CC12CCC1NCC2	9	1	10	0	8	0	1	1	5	1	5.43
mol50	CNC1=C(C=O)N=CN1C=CC=C	9	2	13	3	3	2	5	4	2	3	3.77
mol51	CN1C2C3ON=CC(C=CC23)C1=O	9	2	13	1	11	2	6	4	5	6	4.39
mol52	CC1CCC(=O)C(C#N)C11COC1	10	0	13	1	10	0	5	3	5	3	4.53
mol53	CC1OC=CCC2C=CN(C=O)C12	10	1	13	1	9	2	5	3	6	4	4.07
mol54	CC1OC2CC2(CN)C1COC=C	10	0	13	1	7	0	5	3	2	3	4.80
mol55	CCC(C)N	4	0	5	0	0	0	1	1	0	0	6.78
mol56	CC1CN2N=C(C=C12)C(CO)C=C	10	2	13	1	6	2	4	3	3	4	4.96
mol57	CC1(N)CC2C3C2C1C1COC3O1	10	0	13	0	14	0	5	3	4	6	5.34
mol58	CCOC(=NO)N1N=CNC=C1C	7	3	13	1	4	2	8	6	4	2	3.86
mol59	CCC1(NC(C#N)C1CO)C(C)C	10	1	13	0	4	0	4	3	1	2	5.22
mol60	CC(=O)NC=CC(=N)N(O)CCN	7	0	13	3	0	0	8	6	0	0	4.07
mol61	CCN1CC1C(CCCC=O)=CC	11	1	13	2	3	0	3	2	1	2	4.13
mol62	CC1CN2CC2CC11C2OCOC12	10	1	13	0	15	0	5	3	6	5	5.39
mol63	CC(=C)C#N	4	0	5	1	0	0	1	1	0	0	5.44
mol64	CC12CC1CC(C)(CCC#C)CN2	12	1	13	0	8	0	1	1	4	1	5.24
mol65	CC1(C)OS(=O)(=O)C11CCCC1	8	0	12	2	9	0	6	3	5	0	5.74
mol66	CC(ON=C)C(N)C(=C)C1CCN1	9	1	13	2	4	0	5	4	3	1	4.38
mol67	C#CCC#C	5	0	5	0	0	0	0	0	0	0	6.02
mol68	CC(C)C=CC1(C)NC1C=NO	9	1	12	2	3	0	4	3	1	1	4.36
mol69	CC1C2C(O)CCC(N)(CO)CN12	9	1	13	0	9	0	6	4	3	4	5.15
mol70	CS(=O)(=O)C12CC(=C)C(N1)S2(=O)=O	6	1	13	5	7	0	9	5	2	2	3.09
mol71	CCC1=CC(C)S(=O)(=O)NCC1N	8	1	13	2	6	1	6	4	3	3	4.76
mol72	CN(CCC#C)CC1NCC2OC12	10	1	13	0	7	0	4	3	3	3	5.05
mol73	CNCC1C2CC=CC(CO)C1N2	10	1	13	0	8	1	4	3	4	4	4.49
mol74	CC1CC(=O)C(CC(=O)N1O)=NO	7	1	13	3	7	0	10	6	2	5	4.24
mol75	CN1CCC2=NC3(C)C(C#C)C3N12	10	3	13	0	10	1	3	3	3	5	4.37
mol76	CNC1(CC2(N)CCNC12)C1CC1	10	1	13	0	11	0	3	3	6	2	4.99
mol77	OC1C(=O)NC2=C1CCC(=C)C2	9	1	12	2	9	1	5	3	4	5	4.56
mol78	CNC1C2C3CC(C3)N2CC1=C	10	1	12	1	11	0	2	2	3	6	4.56
mol79	CC1CC11CCC(O)C1(C)C	10	0	11	0	8	0	2	1	3	2	5.73
mol80	CN1CC=CC(=C)CONC1=N	8	2	12	2	8	1	5	4	6	3	4.26
mol81	C1OC2C=CC11NCC2CON=C1	9	2	13	0	13	2	6	4	10	2	4.56
mol82	C1C2NC3C1C#CC#CCCC3=C2	12	1	13	0	12	1	1	1	9	4	3.88
mol83	CC=C1NC(CC=CC=C1)=NC	10	1	12	2	6	2	2	2	6	2	3.94
mol84	CC12C3CC4C(NCC(O)C14)C2N3	10	2	13	0	14	0	4	3	4	6	5.14
mol85	CC(=C)C1CNC(=O)C(O)C2NC12	9	2	13	2	9	0	6	4	3	5	4.62
mol86	CC1C=NN2CC(C)(C)C12C=O	9	2	12	1	7	1	4	3	3	2	4.19
mol87	C=COC(C#N)=C1NN=CC2NC12	8	3	13	2	7	1	6	5	4	3	3.71
mol88	CC1C2=CC3NC3C2NNC1=NO	8	3	13	1	11	1	6	5	4	6	4.31
mol89	CC1=C(CN)C=CC(=O)NN=CC1	9	2	13	1	6	3	5	4	6	3	3.88
mol90	CC1=C(C)C2(C)NCC2C(CN)C1	11	1	13	0	8	1	2	2	3	4	4.73
mol91	CCC1C=NOC11COC=C1C	9	1	12	0	8	2	5	3	6	2	4.65
mol92	CNC1CN(C)CC1(O)C(=C)CO	9	1	13	1	5	0	6	4	2	2	4.47
mol93	CCOC(C=C)=NN=C(N)C(N)=O	7	0	13	4	0	0	8	6	0	0	3.83
mol94	OCC=C	3	0	4	1	0	0	2	1	0	0	5.90
mol95	C=CC1=CC2NC2C2C1C=CC2=O	11	1	13	2	10	2	3	2	4	6	3.92
mol96	NC(=O)C#C	3	0	5	1	0	0	3	2	0	0	5.79
mol97	NC1CNN=CC(C=C)=CC#C1	9	2	12	1	6	2	3	3	7	2	3.37
mol98	CC1CCN1	4	1	5	0	4	0	1	1	3	1	6.40
mol99	CC1(N)C(N)C=C(C(N)CN)C1=C	9	0	13	1	4	1	4	4	1	3	4.02
mol100	C1NC1C=CC12CC3OC1OC3C2	10	1	13	1	13	0	5	3	6	4	4.64
mol101	CC=C1CC#CC(C)NCC=CO1	11	1	13	1	8	1	3	2	8	2	4.46
mol102	CN1CCC(C=O)C(O)CS1(=O)=O	7	1	13	3	7	0	9	5	3	3	4.47
mol103	COC1CC(O)C(C)C(=C)C=C1	10	0	12	1	6	1	4	2	3	4	4.29
mol104	NCC=C	3	0	4	1	0	0	1	1	0	0	5.87
mol105	CC(=N)N1C2C(NCC1=C)C2C#N	9	2	13	2	8	0	4	4	2	5	4.42
mol106	CC(=NN)C1=CC(O)C(O)C2NC12	8	1	13	1	7	1	7	5	2	5	3.91
mol107	OC1CNC1	3	1	5	0	4	0	3	2	3	1	6.16
mol108	COC1=C(CC2OCC2O)SC=N1	8	1	13	0	7	2	7	4	5	4	4.21
mol109	CCN(C)C(CC(N)=O)C(=O)CO	8	0	13	2	0	0	8	5	0	0	4.25
mol110	CC12CCC3=CC(CN)NC13C2O	10	1	13	0	10	1	4	3	4	3	4.57
mol111	NC12CC=CC3CC4CN(CC13)C24	11	1	13	0	14	1	2	2	6	5	4.61
mol112	CC1CC(OC=C)C23CC12C=NN3	10	2	13	1	10	1	4	3	5	2	4.60
mol113	CN=C1NN2CC2CC(=O)N1C	7	3	12	2	9	0	6	5	3	5	4.57
mol114	C=C1C(=O)C2CCNC2C11CNC1	10	2	13	2	13	0	4	3	6	4	3.75
mol115	CC1CC1C=CC1=NC(O)=CO1	9	1	12	1	6	2	5	3	4	4	3.88
mol116	CN1C(CO)C2COC(CC1=O)O2	8	1	13	1	10	0	9	5	4	5	5.06
mol117	CC=NOC1CCC2=C1SNC2=O	8	1	13	2	7	2	6	4	4	4	4.21
mol118	CC1NN=CC2CC1C2CNC=O	9	2	13	1	8	1	5	4	4	4	4.82
mol119	C(N1CC1)C12COC3=CCC(N1)C23	10	2	13	0	13	1	4	3	7	4	4.48
mol120	CC12CC(=O)C(CC1=O)OC2=C	9	0	12	3	9	0	6	3	3	4	4.04
mol121	CC1CC(=O)C(CN1)=CNNC=O	8	1	13	3	6	0	7	5	3	3	3.94
mol122	CC1=CC2=CN=NN2OC2CC1C2	9	3	13	0	11	3	5	4	7	5	4.40
mol123	CC=CC(=C)C(=C)C(=N)NC=NO	9	0	13	5	0	0	5	4	0	0	3.89
mol124	C1C2C3N=CNC33CC3NC=NN12	8	5	13	0	14	2	5	5	8	4	4.01
mol125	CN1CC(C)=CC(=O)NC(C=O)=C1	9	2	13	2	6	2	6	4	4	4	3.85
mol126	CC1CN2C3CC3C=CC12C#C	11	1	12	0	10	1	1	1	4	4	4.46
mol127	CC(C)=NO	3	0	5	1	0	0	3	2	0	0	5.93
mol128	CN=C1N(N=C(C)C=C1Cl)N1CC1	8	3	13	1	6	3	4	4	4	5	3.61
mol129	CS(=O)(=O)OCC(=C)CC(O)C=O	7	0	13	4	0	0	10	5	0	0	4.25
mol130	CC1=NC=NC=C1C(=O)NC(N)=S	7	2	13	2	3	3	6	5	4	2	3.81
mol131	N=C1C=NSN1OC1=CCOC=C1	7	2	13	1	7	4	7	5	8	3	3.51
mol132	CN1C2C1C1(O)C3CC2CCC13C	11	1	13	0	13	0	3	2	3	5	5.32
mol133	CCCO	3	0	4	0	0	0	2	1	0	0	7.24
mol134	CC1=CS(=O)(=O)C2C3C4NC4C1C23	9	1	13	2	12	1	5	3	2	7	4.70
mol135	CC(O)C1(NC(=N)C=C1C#N)C#N	8	1	13	1	4	1	6	5	2	2	4.11
mol136	CN(C)C1CCC(=N)NNCC1O	8	2	13	1	8	0	6	5	5	3	4.25
mol137	CC1CC1C1CC(=C)CC1(C)O	11	0	12	1	8	0	2	1	3	4	4.83
mol138	CCOC=C	4	0	5	1	0	0	2	1	0	0	5.84
mol139	CNC1(CCO)CCC1=O	7	0	10	1	4	0	5	3	2	1	4.19
mol140	C1C2NCC=CC11OCCC3C2C13	11	1	13	0	15	1	3	2	8	4	4.51
mol141	CCC1=NC(C=CC(C)=NN)=CN1	9	2	13	2	3	2	4	4	3	2	3.57
mol142	CN1C=C2C=CCN(CCN)C2=C1	10	2	13	0	7	3	3	3	5	4	3.87
mol143	CCCC1C2C(O)CCNCC12O	10	1	13	0	9	0	5	3	4	3	5.36
mol144	CC1NN=C(C#C)C(=C)C1(C)N	9	2	12	1	5	1	3	3	2	3	3.94
mol145	CC#CC1(N)C2OC1C1=C2OC=N1	9	1	13	0	9	2	6	4	4	4	4.55
mol146	CNC1C(C#C)C11COCC1(C)C	11	0	13	0	8	0	3	2	3	2	5.11
mol147	C1CC=CO1	4	0	5	0	4	1	2	1	5	0	5.71
mol148	ON=C1NOC(CC2CN2)C1O	6	2	12	1	8	0	9	6	4	4	4.63
mol149	CCC1(OCC1O)C1C(N)C1C=C	10	0	13	1	7	0	5	3	2	4	4.80
mol150	OC1=CSC2=C1CNC(=N)C2C=C	9	1	13	2	8	2	4	3	4	5	4.34
mol151	CCC(=N)N1CC(=C)C=C1CN	9	1	12	2	4	1	3	3	2	3	3.80
mol152	CC(CC=C)=C1CCC=C1CC#N	12	0	13	2	4	1	1	1	3	2	4.09
mol153	CNC1=CS(=O)(=O)C=CC2COC12	8	0	13	2	8	2	7	4	5	3	4.17
mol154	CC1=NOC2OCC3(ON=C)C2C13	8	1	13	1	10	1	8	5	4	4	4.53
mol155	CNCC1=CC(CN)=CCON=C1	9	1	13	0	5	3	5	4	6	2	3.70
mol156	CC1(O)C(CCO)C1NCC=O	8	0	12	1	3	0	7	4	0	2	4.17
mol157	CNC	2	0	3	0	0	0	1	1	0	0	6.75
mol158	CNC1CC2=NCC3(CN)CC1N23	9	2	13	0	10	1	4	4	4	4	4.45
mol159	CCCNCCN=C1CCC(C)N1	10	1	13	1	5	0	3	3	3	2	4.75
mol160	CC#CC	4	0	4	0	0	0	0	0	0	0	6.67
mol161	N=C1NOC(C=C1)C#CCC#C	9	1	12	1	5	1	4	3	4	2	4.33
mol162	CC1(O)C(O)C1N1C=NC(C=O)=N1	7	3	13	1	6	2	9	6	3	4	4.31
mol163	COC12C(C)C1NN=C2S(N)(=O)=O	6	2	13	2	6	1	9	6	2	3	4.43
mol164	CC1(CS(=O)(=O)CC2CO2)CC1O	8	0	13	2	6	0	8	4	3	2	5.06
mol165	CC1NCC2=C1OC=CC2O	8	1	11	0	8	2	5	3	5	4	4.66
mol166	C=CC=CC12COC3C(O1)C3O2	9	0	12	2	10	0	6	3	4	3	4.16
mol167	CCN1N=CCCC1(C=C)C1CN1	10	3	13	1	8	1	3	3	6	2	4.38
mol168	CCN(C=O)C1C(=O)NNS1(=O)=O	5	2	13	4	5	0	11	7	2	2	4.68
mol169	CC12C(N)C1C=CCC1C=CCC21	12	0	13	0	11	2	1	1	6	4	4.04
mol170	CC1CC2(CC2N)OC(C)=C1	9	0	11	0	8	1	3	2	4	3	4.88
mol171	CCO	2	0	3	0	0	0	2	1	0	0	7.54
mol172	CC12CC3OC(CC=CCNC13)O2	10	1	13	0	13	1	5	3	8	3	4.67
mol173	CCC=CC1C2NC3C1C2OC3=O	10	1	13	2	10	0	5	3	2	6	4.66
mol174	CC(C)CO	4	0	5	0	0	0	2	1	0	0	6.95
mol175	C#C	2	0	2	0	0	0	0	0	0	0	7.85
mol176	CN1CC2C3CNC3CC3CC23C1	11	2	13	0	15	0	2	2	6	5	5.15
mol177	CC1CC2CC(OC=C2)C(O)C1	10	0	12	0	10	1	4	2	6	4	5.20
mol178	C1CC11CC2CCC3CC(C2)NC13	12	1	13	0	16	0	1	1	8	4	5.10
mol179	CCN1C(=O)CC2C(N2C=N)C1=O	8	2	13	3	8	0	7	5	1	6	4.43
mol180	CC(N)C(=N)N(O)C=C(C)C=C	8	0	12	3	0	0	5	4	0	0	3.78
mol181	CN1CC2(C1)CC(NN=CO2)C#N	8	3	13	0	10	1	6	5	7	2	4.52
mol182	C=C1C2OC=COC2=NNS1(=O)=O	6	2	13	3	9	2	10	6	6	3	4.10
mol183	CC1COC1	4	0	5	0	4	0	2	1	3	1	6.81
mol184	CC(CO)OC1CNC(C)=C1C#N	9	1	13	0	4	1	6	4	2	3	4.32
mol185	CC=CC=C1C=CC2(NC12)C=C	11	1	12	3	6	1	1	1	3	2	3.68
mol186	CC1C2C(=C)C(N)CC=CC12O	10	0	12	1	8	1	3	2	3	4	4.72
mol187	CNC12CC(=C)C(C1O)C(=C)CC2	11	0	13	2	9	0	3	2	3	4	4.46
mol188	CC=C1N(N)C(=N)CC1(C)N1CC1	9	2	13	2	8	0	4	4	3	4	4.54
mol189	CCC1(COC)CCC1N	8	0	10	0	4	0	3	2	2	1	5.66
mol190	CCC1=CN(NC)C=C1C(C)(C)C	11	1	13	0	3	2	2	2	2	3	5.05
mol191	NCC12COC3C(CC3C1)C2	9	0	11	0	11	0	3	2	5	3	5.52
mol192	CC12CC1OC=C1C(N)C=NNC21	9	2	13	0	11	2	5	4	6	4	4.57
mol193	CC1C2C(C#C)N2N2C=CC(N)=C12	10	2	13	0	9	2	3	3	2	7	4.31
mol194	CCC(C#N)C1C=CC2OC12C=O	10	0	13	1	6	1	5	3	3	2	4.71
mol195	CCC1OCC(CC1CO)C#N	9	0	12	0	6	0	5	3	3	3	5.39
mol196	CCN1CC2=C(OC3CC13)C=CO2	10	1	13	0	11	2	5	3	6	5	4.45
mol197	CC1OCC(=CC2CCO2)C=NO1	9	1	13	1	10	1	7	4	8	3	4.12
mol198	CC1=CC2CC(OC1CO2)C=C	10	0	12	1	9	1	4	2	5	4	4.71
mol199	CC(C=C)=C(C)C1OC=NN=C1	9	2	12	2	4	2	4	3	5	1	3.82
mol200	CC1NN(C(C#C)C1C=C)C(C)=N	10	2	13	2	5	0	3	3	1	4	4.55
mol201	CC1(C=CC(=CC(N)=O)C=C1)C#N	10	0	13	2	4	2	4	3	4	1	3.90
mol202	CC(=C)CON=C(C)NC(=O)C#N	8	0	13	3	0	0	7	5	0	0	3.97
mol203	CCC(=C)C=CC(C#C)C#C	11	0	11	2	0	0	0	0	0	0	4.29
mol204	C=C1CC(CC=NN1C=N)=CC=O	9	2	13	4	6	1	5	4	4	3	3.58
mol205	OC(C=CCC1(CN1)C#C)C#C	10	1	12	1	3	0	3	2	2	0	4.53
mol206	CCOC(=O)C(CC)COC=O	8	0	12	2	0	0	8	4	0	0	5.29
mol207	CNC(=N)C1=CC(C#C)N2CC12	9	1	12	1	6	1	3	3	2	4	4.26
mol208	CC1CC11C2CCC2N(N)C1=NO	9	1	13	1	11	0	5	4	3	5	4.99
mol209	CC1C2=NN=CN=C2CCC1(C)O	9	3	13	0	8	3	5	4	6	3	4.01
mol210	C=CC=C1C(NC(=N)C1C=O)C#C	10	1	13	4	5	0	4	3	1	4	3.99
mol211	NC1C2=CCOC2OC2=CSN=C12	8	1	13	0	11	3	6	4	7	5	4.29
mol212	CC1C2C3C(OC1C3C#N)C2=O	9	0	12	1	10	0	5	3	1	7	4.63
mol213	CCN(C)C(=N)NCC1(CN1)C#C	9	1	13	1	3	0	4	4	2	0	4.90
mol214	NN=CN1CCC2=NN=CCCC12	8	3	13	1	9	2	5	5	7	3	4.00
mol215	CC1OC11CCC(C)C=CC1C	11	0	12	0	9	1	2	1	5	3	5.04
mol216	CC(CCO)C1N=C(N)CS1(=O)=O	7	1	13	2	4	1	8	5	2	2	4.66
mol217	CON(C(=C)OC=C)C(=S)N(C)O	7	0	13	3	0	0	8	5	0	0	3.90
mol218	N=C1N(CC=O)OCC2=C1SN=C2	7	2	13	2	8	2	7	5	5	4	4.06
mol219	CC(=C)C1(OCCO)C2CNCC12	10	1	13	1	7	0	5	3	3	2	4.58
mol220	CC1C(C2CO2)C1(N)C1(CO)CN1	9	1	13	0	9	0	6	4	4	3	5.27
mol221	CCON=C1CC(=C)C2CC2C1=O	10	0	13	3	8	0	5	3	2	5	4.14
mol222	CC1CC2=C(CN1)C(C)CCC2=C	12	1	13	1	10	1	1	1	5	5	4.17
mol223	C1C2NC1C13CC(ON=C1)C2=NN3	8	4	13	0	14	2	6	5	8	4	3.83
mol224	C1C=CC=C1	5	0	5	0	3	2	0	0	5	0	5.08
mol225	CC1(NCC(CC1=O)C1CN1)C=O	9	2	13	2	9	0	6	4	5	3	4.11
mol226	CN1CC2C(=O)CC11C(C)=CC=C21	11	1	13	1	10	2	3	2	4	5	3.91
mol227	CC1(C)C(=C)CN2N=CCC3CC123	11	2	13	1	11	1	2	2	5	3	4.53
mol228	CNC(C)C12C=CC3NCC1OC23	10	1	13	0	10	1	4	3	5	3	4.35
mol229	CC1=CC2=CC(CCNC1)=CC2O	11	1	13	0	9	3	3	2	7	4	3.23
mol230	CC12C=C(CC(O)C1NC2=O)C#C	10	1	13	1	8	1	5	3	3	4	4.15
mol231	CC1C2C=CCC(C(N)CO)N12	9	1	12	0	7	1	4	3	3	4	4.54
mol232	CC1CC2C3CN3C3COC1C2C3	11	1	13	0	15	0	3	2	5	7	5.70
mol233	CN1CC11C2CC2CCOCC1=O	10	1	13	1	13	0	5	3	6	4	4.14
mol234	CC1C(ON=C)C(=O)C(=O)C11CO1	8	0	13	3	8	0	9	5	2	4	3.37
mol235	CCC12CC(C1C)N1C3CC(C3)C21	12	1	13	0	13	0	1	1	3	6	5.46
mol236	CC1CN2C=NC=NC3CNCC123	9	4	13	0	12	2	4	4	8	3	4.10
mol237	CC1=CC2OCOCC1(C)CC2N	10	0	13	0	10	1	5	3	6	3	4.79
mol238	N=C1CCN2CCC3CN3N=C2N1	8	4	13	1	13	1	5	5	7	5	4.17
mol239	CC12OC(=O)NNC11CCNCC21	8	3	13	1	13	0	7	5	7	2	4.97
mol240	NCC#C	3	0	4	0	0	0	1	1	0	0	6.19
mol241	C=CS(=O)(=O)C1OC2CCC1OC2	8	0	13	3	9	0	8	4	5	3	4.36
mol242	CCOC=CC(C)(O)C(=O)NNC	8	0	13	2	0	0	8	5	0	0	4.41
mol243	CNCC12C(CC1C=C)NCC2N	10	1	13	1	8	0	3	3	3	3	4.40
mol244	CCC1=C(Cl)C2=C(N1)OC(C)O2	8	1	12	0	7	2	5	3	3	5	4.53
mol245	CC1NNC(=O)N(C)C(CN)C1C	8	3	13	1	7	0	6	5	2	5	4.78
mol246	CC1OCC2NC11CCC2CC1=O	10	1	13	1	13	0	5	3	6	4	4.86
mol247	C=CC1(C=C)C2C3CC3N=CN12	10	2	12	2	9	1	2	2	3	4	4.36
mol248	C1NCC23CC(OCCC2)C=C13	10	1	12	0	13	1	3	2	9	2	4.64
mol249	CN=CN(C)C1C=CC(=O)C1=C	9	0	12	3	4	1	4	3	2	3	3.49
mol250	COCC(C1CO1)C1(CN)CO1	8	0	12	0	6	0	7	4	4	1	5.59
mol251	CC=CC1(C)CC(N)(C#C)C1N	10	0	12	1	4	0	2	2	1	1	4.70
mol252	CC1OCC1C=C(CCN)C=C	10	0	12	2	4	0	3	2	2	2	3.97
mol253	CC1CC2OC2C2=CN=CN2N=C1	9	3	13	0	11	3	5	4	7	5	4.34
mol254	CC=C1OC=CC2CC3NC(C2)C13	11	1	13	1	12	1	3	2	6	5	4.07
mol255	O=C1C2OC3C=CC1C2CC3=O	9	0	12	2	11	1	6	3	4	6	4.16
mol256	CC(C)=O	3	0	4	1	0	0	2	1	0	0	5.94
mol257	CC(NCCO)C1COC(CO)C1	9	0	13	0	5	0	7	4	3	2	5.16
mol258	CCONC(=N)C1CN1CC1CC1	9	1	13	1	6	0	5	4	3	3	5.10
mol259	CN(C)C(CCC(C)=O)=NCC#C	10	0	13	2	0	0	4	3	0	0	4.27
mol260	C=C1CC2NC2C(C2CN2)C2CC12	11	2	13	1	14	0	2	2	5	7	4.71
mol261	CCNC12CC(C1)C(N)C2(C)O	9	0	12	0	7	0	4	3	2	2	5.11
mol262	CC1NC(CC=O)(C(O)C=C)C1C	10	1	13	2	4	0	5	3	1	2	3.98
mol263	CC1(NCC(=O)C2(CO)OC12)C#C	9	1	13	1	8	0	7	4	3	2	4.27
mol264	C=CC1CC=CCNNC1=O	8	2	11	2	7	1	4	3	6	2	4.59
mol265	CC1=C2C=CN=CN2C(=N1)C#C	9	3	12	0	5	5	3	3	5	4	3.71
mol266	CC1CC(C(O)C2CN2)C(C=C)=C1	11	1	13	1	7	1	3	2	4	4	4.11
mol267	CN1SC(=O)C(OC2CC2C#C)=C1	9	1	13	1	6	2	5	3	3	5	4.06
mol268	CC1C=CC2(N)CC3CC(=C)C12O3	11	0	13	1	11	1	3	2	5	3	4.69
mol269	C=CC12CCNCCC3(CO3)C1N2	10	2	13	1	13	0	4	3	8	1	4.63
mol270	CC#CC(C)(C)C1=CCNCC1=C	12	1	13	1	5	1	1	1	4	2	4.23
mol271	CC1=NOC(=O)N2C(C3CN3)C12C	8	3	13	1	10	1	7	5	4	5	4.47
mol272	CC(=O)C=CC1C=CC2CC1C2	11	0	12	2	7	1	2	1	4	3	4.15
mol273	CC1(C=C)C(COC1=NO)=CCN	9	0	13	3	5	0	6	4	2	2	4.46
mol274	CC=C1NS(=O)(=O)C(C)(C)C1C=C	9	1	13	4	5	0	5	3	1	2	4.57
mol275	CCC=NO	3	0	5	1	0	0	3	2	0	0	5.98
mol276	CC(C)=C(CC#N)C1=CSN=N1	8	2	12	1	3	2	3	3	4	1	4.05
mol277	COC1=NNC2CON=C2C1=C	7	3	12	1	8	2	7	5	5	4	3.86
mol278	CN1C2CNC2CC1C1(N)CC1	9	2	12	0	11	0	3	3	5	4	5.19
mol279	CC1C2=C(CCC1=CC=O)ON=N2	9	2	13	2	8	2	6	4	5	4	4.08
mol280	CCNC1=NC(CC(C)=C)C=NO1	9	2	13	1	4	2	5	4	4	2	4.43
mol281	CC(O)C(N)C1(C)CC2NCCC12	10	1	13	0	8	0	4	3	4	2	5.14
mol282	CCN=C1N(C)CC(CC#C)N1N	9	2	13	1	5	0	4	4	1	4	4.99
mol283	NCC1C=CC2=C3CCN3C(=N)N12	9	2	13	1	9	3	4	4	4	6	3.73
